"","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets","Assets"
"11",113895829.483765,113950742.998256,98358104.9205416,99610619.7589121,93898663.3001226,94385971.0857245,116545863.592317,116572464.517633,113622732.93494,114133619.14481,102617910.190592,105108814.820382,117227748.303217,117356811.896786,117030013.234012,117132379.355419,116489336.174099,116972208.62297,116568846.604986,117701859.737333,116330651.179363,116736078.849945,116240539.11859,116281411.788829,99615450.9187955,101804766.886551,116811557.77263,116885867.357178,115762606.278392,115796082.517069,106398990.184516,107050856.964925,106406086.998056,107016622.371765,106547681.488185,107653524.036849,101519461.687859,106075712.874429,1104786.82194292,1139479.89253069,11344990.9232691,11395048.6860878,113895829.483765,113950742.998256,1139140876.58278,1139507678.31492,11363960186.4365,11395077026.0593
"12",115259622.539265,115320301.057418,96086253.2524384,97474638.2339623,90216710.2341829,90719207.0432576,118642231.967132,118670760.092448,112994290.84131,113504847.063959,101763288.967239,104448740.737298,120111768.778596,120246192.810509,119516616.465666,119623651.72528,118180570.042055,118675844.980611,120448214.328661,121750790.224734,116747117.655078,117187688.71546,118243256.89916,118290936.553315,97937205.334068,100143762.088474,120826309.038494,120905594.369323,117776180.265101,117814721.026932,104234798.941831,104876427.482911,104623677.414518,105227144.89814,104120371.749452,105203295.404578,98258187.5724891,103230262.189092,1113352.28658396,1153179.26972827,11476568.3836862,11532007.2917685,115259622.539265,115320301.057418,1152798723.9643,1153203230.14157,11497831111.5315,11532032509.6971
"13",112531334.558155,112596155.172911,86981155.1483138,88348086.1302586,81961823.8234282,82491654.9508894,116968541.04827,116999039.944949,111070636.650951,111651206.477737,96022214.4886381,98865169.9248585,117741674.675623,117878710.289782,117472163.145564,117579909.519166,113721504.279767,114203037.225252,118260199.759065,119625450.266095,115127746.671954,115594160.183743,118308697.561894,118363471.279178,91999813.6008321,94455672.26626,118491422.960205,118572388.975131,115996319.016783,116038921.373986,99467631.8179054,100145121.753818,99461291.0504541,100086720.543636,99958295.811307,101009366.789084,91227961.1278793,96467477.9158093,1083401.76307112,1125965.07410172,11200520.4983291,11259618.8906772,112531334.558155,112596155.172911,1125503227.17802,1125961508.25736,11220476785.0953,11259615040.1987
"14",108080643.175405,108149866.599609,79831694.5343553,81203259.6493866,74097492.2395268,74643928.8078953,113075383.827606,113108046.807346,104779496.636921,105344717.017204,89813218.1777213,92783412.9307291,114504818.702448,114644046.86098,113856603.673528,113978260.039482,109254636.115793,109740425.414853,114015731.233691,115463097.329923,111267625.678735,111784192.560542,114671495.490733,114728769.310733,84692068.6408701,87209699.0231398,115211832.335786,115294788.846728,111868755.154484,111913584.556741,94284107.7432311,94972373.8407305,94203293.1242543,94870180.4125307,94283969.6412746,95379132.3789999,84599591.06128,90170775.1273712,1035550.87774427,1081531.54700711,10753039.5142612,10815015.2091395,108080643.175405,108149866.599609,1080880675.2362,1081498350.89178,10760430625.5645,10814983197.0687
"15",107553084.157739,107626990.070673,78691190.2157815,80145520.5392959,72164149.3728519,72731861.2145673,113181743.646603,113215684.062505,106454239.767824,107029545.145152,87590404.2619306,90743059.5582688,113197121.958534,113336074.642606,113121018.907907,113243247.905114,108036314.167965,108518218.21122,115254053.345429,116807521.744416,111293317.189089,111853128.222011,114682765.494136,114745226.101794,83015034.1950681,85488641.0033008,114024878.15982,114108270.494933,111879425.263213,111926780.850907,95102882.0056258,95798018.2761574,94048112.4541914,94715387.8005009,92971110.9592525,94053728.5135667,81858381.9423028,87768438.502255,1026349.12744375,1076311.90439815,10697434.8805684,10762736.7261264,107553084.157739,107626990.070673,1075648642.82924,1076269493.07253,10708291404.6057,10762694547.2918
"16",102666905.784009,102742697.112741,70949619.7134816,72314945.8297828,65440856.0493264,65994044.6639886,108702018.38607,108736026.43218,104395359.66112,104961027.783171,82246955.4859121,85423354.9520997,106574282.90128,106706542.950462,106779934.657526,106897342.702176,101827861.290589,102283524.368821,110728023.109032,112254620.543709,109915290.658367,110508573.086803,110947302.331832,111012337.97695,77786279.4291935,80135562.959353,106810632.364863,106890111.286916,107260996.158946,107309421.927753,90391758.7084217,91063792.7630053,88670482.4218588,89304093.2545758,89178974.6790564,90235351.1374028,73340954.4756344,79062501.1497266,975845.117226204,1027495.9106678,10206931.2007724,10274331.2053269,102666905.784009,102742697.112741,1026825678.39372,1027426302.36148,10222057023.3842,10274262388.9633
"17",100815487.774002,100895085.963999,65034458.7936574,66380382.2646929,58856832.2584923,59391606.4633201,107824026.232586,107859170.589921,100848486.863445,101396321.622842,75646873.061554,78914563.7674699,105490546.205988,105622958.454551,105304643.140473,105423416.911502,100538964.370478,100990651.139552,110253217.232899,111795735.572872,109468065.442627,110128376.255334,109747596.776954,109814880.946199,71436755.3643047,73619238.209633,106373047.977094,106453652.800361,106109523.1276,106160209.217546,86176663.8816428,86819165.7888577,85794725.1819545,86409258.0707844,85494541.8544879,86509343.438035,65823172.296052,71294444.9029357,956448.670627762,1009041.31580639,10018326.9692024,10089590.006489,100815487.774002,100895085.963999,1008345990.91989,1008950010.65825,10037339958.5474,10089499264.4397
"18",99936540.6552637,100020481.984628,62280214.048536,63654664.5749748,56849310.4858018,57390501.8980037,107452958.444199,107489227.644325,99940967.8883446,100485138.194245,73243374.228708,76591509.9266816,105064021.003673,105197298.629762,105031384.477121,105151099.536807,99741807.2548987,100191327.347878,110746034.74037,112340458.205475,108352650.535153,109041085.029959,109699610.507443,109770379.921996,69012434.31742,71158352.2349872,105726316.038963,105807734.355061,105810338.921807,105864256.157408,83942021.1438497,84578404.019177,84445771.1595104,85055911.8154584,83423644.9641558,84415163.0254195,62094554.5329696,67694157.5873319,946794.12663507,1000305.79184484,9926575.20476291,10002139.8032324,99936540.6552637,100020481.984628,999598724.561612,1000203881.7419,9950194733.88896,10002037876.2751
"19",104939034.352967,105031917.272485,70063166.4250314,71652766.8602591,66025242.7859184,66666411.0107086,111682888.71364,111727912.03289,101990822.603364,102802290.111694,81399435.0055629,85408105.5822075,109957566.786524,110135151.759568,109523618.543,109713701.172328,104428655.015689,105357894.631465,113265362.147098,114985369.124159,109272123.063746,110025430.954797,112267435.759244,112342202.223527,75837249.2837901,79639857.2141273,112256202.708099,112362323.851172,109856247.137254,109915586.351065,90844226.6238545,91960062.8063911,91504211.129047,92532604.3065823,89692701.5183285,91465760.4049084,71094580.8370628,78027538.9856391,993624.374870586,1050385.78931979,10419301.3331688,10503253.7350004,104939034.352967,105031917.272485,1049676541.74708,1050318551.71382,10448563072.7408,10503184893.1381
"20",101728046.667581,101823261.660994,66930446.2216749,68537590.8197873,63547804.9285167,64211280.5470659,108016514.634262,108061672.176189,100106877.48962,100910881.35157,79105967.8415853,83220489.3336713,105870300.347577,106047573.434071,105510461.524352,105697252.636979,100598379.640698,101512194.42909,109678221.282688,111390526.58997,105940609.537496,106728958.461266,108318227.750795,108395897.968284,72482018.1383954,76209923.7832255,108172026.165498,108276356.859846,106296357.76479,106356916.483521,89382337.5588736,90494076.2384803,90259011.5312017,91285975.3655809,88571471.275137,90332562.9263972,67323526.280374,74328599.471043,958934.391139259,1018305.86993088,10095898.1502705,10182396.2807618,101728046.667581,101823261.660994,1017599410.86501,1018231918.15466,10128880606.1806,10182318486.7358
"21",106864481.102436,106969217.64734,73775582.889015,75581976.3030549,71088208.4495786,71844757.8972252,112014618.90922,112062633.952351,110187310.10858,111073264.326851,86236145.1332926,91201351.9954656,106951219.125983,107131491.452843,107401170.69753,107592524.021544,105494178.071973,106453627.834439,115888675.930853,117805858.297115,114155349.516652,115030223.082386,111137209.748032,111218902.301645,80550067.1606203,84690914.699918,108768720.707083,108874855.729037,110212720.317463,110278126.405363,97799043.3619294,99016064.9968767,98505651.9867071,99627038.2076097,96179465.3118084,98092976.779521,75486260.6408755,83869256.7990321,1003551.36838686,1069724.77127913,10601946.4176498,10696952.679796,106864481.102436,106969217.64734,1069022257.11692,1069691851.80246,10640733795.7426,10696918228.3159
"22",106760557.027849,106870199.345842,69963136.698843,71707524.4840784,70560251.5336335,71331895.7413244,111950261.614757,111999593.576456,107767456.444292,108637975.839216,85967807.2389982,91053624.2173979,106882933.215031,107065778.68126,107563489.626462,107757877.097225,103721279.359405,104666224.28006,117691074.631976,119707984.209908,112804518.071166,113708487.31387,110862455.415094,110948255.624116,79959821.4178591,84153891.734257,109308855.156746,109416799.05621,110106741.15299,110174210.880432,100519889.875067,101812428.944062,99209420.4364988,100343045.629447,97799671.9553475,99747526.3480796,71261779.7041797,79581474.6703961,999312.340155419,1068734.69226538,10587208.2631111,10687051.2020537,106760557.027849,106870199.345842,1068023663.39341,1068701687.8418,10630478149.7745,10687016593.471
